keyword,link,crawling
셔츠,/app/product/detail/761304/0,no
셔츠,/app/product/detail/725648/0,no
셔츠,/app/product/detail/837921/0,no
셔츠,/app/product/detail/799932/0,no
셔츠,/app/product/detail/533111/0,no
셔츠,/app/product/detail/941948/0,no
셔츠,/app/product/detail/559206/0,no
셔츠,/app/product/detail/409707/0,no
셔츠,/app/product/detail/303620/0,no
셔츠,/app/product/detail/754954/0,no
셔츠,/app/product/detail/617630/0,no
셔츠,/app/product/detail/608685/0,no
셔츠,/app/product/detail/930790/0,no
셔츠,/app/product/detail/774388/0,no
셔츠,/app/product/detail/577526/0,no
셔츠,/app/product/detail/563666/0,no
셔츠,/app/product/detail/722520/0,no
셔츠,/app/product/detail/609605/0,no
셔츠,/app/product/detail/947880/0,no
셔츠,/app/product/detail/574286/0,no
셔츠,/app/product/detail/476239/0,no
셔츠,/app/product/detail/942012/0,no
셔츠,/app/product/detail/892745/0,no
셔츠,/app/product/detail/947074/0,no
셔츠,/app/product/detail/798811/0,no
셔츠,/app/product/detail/778059/0,no
셔츠,/app/product/detail/759240/0,no
셔츠,/app/product/detail/835054/0,no
셔츠,/app/product/detail/967721/0,no
구두,/app/product/detail/607298/0,yes
구두,/app/product/detail/464267/0,yes
구두,/app/product/detail/107513/0,yes
구두,/app/product/detail/627255/0,yes
구두,/app/product/detail/302374/0,yes
구두,/app/product/detail/760047/0,yes
구두,/app/product/detail/705626/0,yes
구두,/app/product/detail/705611/0,yes
구두,/app/product/detail/833746/0,yes
구두,/app/product/detail/163357/0,yes
구두,/app/product/detail/950889/0,yes
구두,/app/product/detail/595039/0,yes
구두,/app/product/detail/606329/0,yes
구두,/app/product/detail/863784/0,yes
구두,/app/product/detail/808782/0,yes
구두,/app/product/detail/595040/0,yes
구두,/app/product/detail/47144/0,yes
구두,/app/product/detail/705618/0,yes
구두,/app/product/detail/834089/0,no
구두,/app/product/detail/814238/0,no
구두,/app/product/detail/936094/0,no
구두,/app/product/detail/595038/0,no
구두,/app/product/detail/595042/0,no
구두,/app/product/detail/339922/0,no
구두,/app/product/detail/804483/0,no
구두,/app/product/detail/936095/0,no
구두,/app/product/detail/755327/0,no
구두,/app/product/detail/418672/0,no
구두,/app/product/detail/760054/0,no
구두,/app/product/detail/608351/0,no
구두,/app/product/detail/711593/0,no
구두,/app/product/detail/949538/0,no
구두,/app/product/detail/921600/0,no
구두,/app/product/detail/918411/0,no
구두,/app/product/detail/702782/0,no
구두,/app/product/detail/605287/0,no
구두,/app/product/detail/464269/0,no
구두,/app/product/detail/706935/0,no
구두,/app/product/detail/853225/0,no
구두,/app/product/detail/499302/0,no
구두,/app/product/detail/685185/0,no
구두,/app/product/detail/950979/0,no
구두,/app/product/detail/464270/0,no
구두,/app/product/detail/804481/0,no
구두,/app/product/detail/127121/0,no
구두,/app/product/detail/418715/0,no
구두,/app/product/detail/767549/0,no
구두,/app/product/detail/705622/0,no
구두,/app/product/detail/588471/0,no
구두,/app/product/detail/501660/0,no
구두,/app/product/detail/205572/0,no
구두,/app/product/detail/107514/0,no
구두,/app/product/detail/606309/0,no
구두,/app/product/detail/787254/0,no
구두,/app/product/detail/436378/0,no
구두,/app/product/detail/57856/0,no
구두,/app/product/detail/52661/0,no
구두,/app/product/detail/833730/0,no
구두,/app/product/detail/808907/0,no
구두,/app/product/detail/698290/0,no
구두,/app/product/detail/285258/0,no
구두,/app/product/detail/892839/0,no
구두,/app/product/detail/435359/0,no
구두,/app/product/detail/947381/0,no
구두,/app/product/detail/607323/0,no
