keyword,text,date,category
청바지,허리 얇은데도 새로 구멍 뚫을 필요없고 넘 습,2019.05.13 23:03,None
청바지,무난 무난 니 편하고 좋아요 가성 대비 좋은 듯 굳긛,2019.05.13 22:03,None
청바지,돈값 합니다 딱 가격 퀄리티 같다고 함다,2019.05.13 18:04,price
청바지,고민 많이하고 샀는데 돈값 하는거 같네여 많이 파세요 ㅎㅎ,2019.05.13 17:50,None
청바지,벨트 가죽 도 짱짱하구 오래오래 쓸수있을것 같아서 좋아요,2019.05.13 15:04,None
청바지,적당한 품질 적당한 가격 이에요 막 쓰기 좋아요,2019.05.11 22:06,price
청바지,나름 나름 무난 질 괜찮아서 오래 쓸 있을것 같음 단점 음 조금 큼,2019.05.12 09:17,None
청바지,벨트 필요해서 찾다가 가성 비 벨트 를 찾게 됐어요 몇 쓸수있을 같네요,2019.05.11 15:51,None
청바지,별루 기 댜안 있었는데 너무 좋아여 ㅎㅎㅎㅎ 추천 요,2019.05.11 22:14,None
청바지,무난 이쁘네요 있어도 좋은 아이템 입니다,2019.05.11 13:52,None
청바지,그냥 일반 이고 무난 벨트 에요 싸게 샀습니다,2019.05.11 13:48,None
청바지,딱 무난 기본 아이템 인 거 습 사용 있어요,2019.05.12 01:21,size
청바지,편하고 이쁘고 괜찮아요 사시는거 추천 합니다 사세요,2019.05.12 01:08,None
청바지,갔습니다 처음 했다가 너무 길어서 교환 했습니다 평소 바지 입는 분 을 가도 될거 같습니다 현재 사이즈 계속 사용 이지만 구멍 모자라서 새로 뚫고 사용 입,2019.05.11 12:17,size
청바지,배송 도 빠르고 좋은데 벨트 구멍 조금 있었으면 하는 아쉬움 남네요 ㅜㅜ,2019.05.11 11:57,None
청바지,가격 이라고 믿기지 않을 퀄리티 와 싸 보이지 않는 심플 과 재질,2019.05.11 10:41,price
청바지,일리 진짜 최고 최고 가격 도 착하고 질도 좋고 그냥 개꿀 녀,2019.05.11 10:08,price
